cancel ['kænsl]
willing ['wɪlɪŋ]
available [ə'veɪləbl]
express [ɪk'spres]
advocate ['ædvəkeɪt]
amazing [ə'meɪzɪŋ]
luggage ['lʌɡɪdʒ]
drawback ['drɔːbæk]
dynamic [daɪ'næmɪk]
up [ʌp]
unusual [ʌn'juːʒuəl]
extreme [ɪk'striːm]
usual ['juːʒuəl]
sink [sɪŋk]
degree [dɪ'ɡriː]
astronomy [ə'strɒnəmi]
suppose [sə'pəʊz]
brake [breɪk]
tube [tjuːb]
outspoken [aʊt'spəʊkən]
especially [ɪ'speʃəli]
once [wʌns]
failure ['feɪljə(r)]
quake [kweɪk]
know [nəʊ]
sing [sɪŋ]
organise ['ɔːgənaɪz]
support [sə'pɔːt]
drop [drɒp]
preview ['priːvjuː]
questionnaire [ˌkwestʃə'neə(r)]
saucer ['sɔːsə(r)]
hire ['haɪə(r)]
breakthrough ['breɪkθruː]
idea [aɪ'dɪə]
destination [ˌdestɪ'neɪʃn]
apron ['eɪprən]
vertical ['vɜːtɪkl]
monument ['mɒnjumənt]
pure [pjʊə(r)]
vivid ['vɪvɪd]
damp [dæmp]
throughout [θruː'aʊt]
virtue ['vɜːtʃuː]
overweight [ˌəʊvə'weɪt]
gay [ɡeɪ]
successful [sək'sesfl]
lovely ['lʌvli]
normal ['nɔːml]
gradual ['ɡrædʒuəl]
figure ['fɪɡə(r)]
socialist ['səʊʃəlɪst]
airmail ['eəmeɪl]
slight [slaɪt]
corrupt [kə'rʌpt]
wide [waɪd]
previous ['priːviəs]
teach [tiːtʃ]
socialism ['səʊʃəlɪzəm]
argue ['ɑːɡjuː]
technology [tek'nɒlədʒi]
superior [suː'pɪəriə(r)]
succeed [sək'siːd]
choir ['kwaɪə(r)]
punctual ['pʌŋktʃuəl]
advertise ['ædvətaɪz]
compromise ['kɒmprəmaɪz]
software ['sɒftweə(r)]
seminar ['semɪnɑː(r)]
reach [riːtʃ]
react [ri'ækt]
competition [ˌkɒmpə'tɪʃn]
none [nʌn]
type [taɪp]
beyond [bɪ'jɒnd]
practise ['præktɪs]
review [rɪ'vjuː]
sight [saɪt]
voluntary ['vɒləntri]
asleep [ə'sliːp]
nobody ['nəʊbədi]
guide [ɡaɪd]
between [bɪ'twiːn]
surrounding [sə'raʊndɪŋ]
goal [ɡəʊl]
collar ['kɒlə(r)]
natural ['nætʃrəl]
overhead [ˌəʊvə'hed]
conclude [kən'kluːd]
come [kʌm]
comprehension [ˌkɒmprɪ'henʃn]
leather ['leðə(r)]
comb [kəʊm]
exist [ɪɡ'zɪst]
unemployment [ˌʌnɪm'plɔɪmənt]
exact [ɪɡ'zækt]
lift [lɪft]
motto ['mɒtəʊ]
nationwide [ˌneɪʃn'waɪd]
force [fɔːs]
centigrade ['sentɪɡreɪd]
botany ['bɒtəni]
wear [weə(r)]
range [reɪndʒ]
weak [wiːk]
leak [liːk]
impress [ɪm'pres]
flat [flæt]
get [ɡet]
course [kɔːs]
barber ['bɑːbə(r)]
copy ['kɒpi]
precise [prɪ'saɪs]
power ['paʊə(r)]
place [pleɪs]
dare [deə(r)]
regular ['reɡjələ(r)]
precious ['preʃəs]
sell [sel]
tired ['taɪəd]
tremble ['trembl]
gymnastics [dʒɪm'næstɪks]
suspect [sə'spekt]
suggest [sə'dʒest]
apologize [ə'pɒlədʒaɪz]
expect [ɪk'spekt]
help [help]
depth [depθ]
assess [ə'ses]
prescription [prɪ'skrɪpʃn]
behaviour [bɪ'heɪvjə(r)]
chorus ['kɔːrəs]
minimum ['mɪnɪməm]
queue [kjuː]
apology [ə'pɒlədʒi]
date [deɪt]
magic ['mædʒɪk]
dress [dres]
argument ['ɑːɡjumənt]
passage ['pæsɪdʒ]
theoretical [ˌθɪə'retɪkl]
adequate ['ædɪkwət]
sound [saʊnd]
own [əʊn]
hopeful ['həʊpfl]
dozen ['dʌzn]
translate [træns'leɪt]
drug [drʌɡ]
barrier ['bæriə(r)]
plain [pleɪn]
should [ʃəd]
only ['əʊnli]
create [kri'eɪt]
justice ['dʒʌstɪs]
criminal ['krɪmɪnl]
blow [bləʊ]
curious ['kjʊəriəs]
proud [praʊd]
like [laɪk]
ugly ['ʌɡli]
earthquake ['ɜːθkweɪk]
tax [tæks]
towards [tə'wɔːdz]
messy ['mesi]
embassy ['embəsi]
rectangle ['rektæŋɡl]
fragile ['frædʒaɪl]
departure [dɪ'pɑːtʃə(r)]
dash [dæʃ]
send [send]
concrete ['kɒŋkriːt]
note [nəʊt]
everybody ['evribɒdi]
sail [seɪl]
cab [kæb]
purpose ['pɜːpəs]
regret [rɪ'ɡret]
line [laɪn]
stout [staʊt]
link [lɪŋk]
flee [fliː]
weep [wiːp]
tune [tjuːn]
aware [ə'weə(r)]
can [kæn]
security [sɪ'kjʊərəti]
award [ə'wɔːd]
ready ['redi]
alarm [ə'lɑːm]
weed [wiːd]
herb [hɜːb]
unconscious [ʌn'kɒnʃəs]
rainfall ['reɪnfɔːl]
cost [kɒst]
will [wɪl]
satisfy ['sætɪsfaɪ]
smoke [sməʊk]
match [mætʃ]
arbitrary ['ɑːbɪtrəri]
cuisine [kwɪ'ziːn]
fault [fɔːlt]
follow ['fɒləʊ]
passive ['pæsɪv]
hard-working [hɑːd 'wɜːkɪŋ]
carrier ['kæriə(r)]
dignity ['dɪɡnəti]
challenge ['tʃælɪndʒ]
category ['kætəɡəri]
cosy ['kəʊzi]
intend [ɪn'tend]
wild [waɪld]
